,preco_1,preco_2,endereco_1,endereco_2,descricao,attr1,attr2,attr3,attr4,attr5
23,R$ 1.200,R$ 1.270/mês,Cidade Universitária,"Cidade Universitária 1 - Barão Geraldo - Campinas SP

Loft mobiliado, localizado na Av 2 - Atílio Martini, bem próximo da Unicamp!
Mobiliado com Geladeira, Fogão, mesa, cadeira, Guarda Roupa, Cama, mesa de Estudo.
Incluso no aluguel: Água, energia, Iptu, Internet
1 vaga de garagem",Kitnet em Campinas,1quarto,1banheiro ,1vaga,30m²,not found
24,R$ 1.200,R$ 1.200/mês,Cidade Universitária,"Cidade Universitária 1 - Barão Geraldo - Campinas SP

Loft mobiliado, localizado na Av 2 - Atílio Martini, bem próximo da Unicamp!
Mobiliado com Geladeira, Fogão, mesa, cadeira, Guarda Roupa, Cama, mesa de Estudo.
Incluso no aluguel: Água, energia, Iptu, Internet
1 vaga de garagem",Kitnet em Campinas,1quarto,1banheiro ,1vaga,30m²,not found
25,R$ 800,"R$ 918,19/mês",Residencial Terra Nova,"Residencial Terra Nova - Barão Geraldo - Campinas SP

Casa de fundos de 1 dormitório, com entrada independente.
Sala, cozinha, banheiro
1 vaga de garagem
Preferência para 1 pessoa, não é permitido animais.
Água: Valor Mínimo
Energia: Individual",Casa em Campinas,1quarto,1banheiro ,1vaga,45m²,not found
26,R$ 2.200,"R$ 2.458,65/mês",Bosque de Barão Geraldo,"Casa Térrea Locação - Bosque Barão Geraldo

Casa térrea com 3 dormitórios, (1 suíte) 
02 dormitórios com armários
Sala de estar espaçosa 
Cozinha com armários e sala de jantar
Lavanderia Externa Coberta
Quintal cimentando nos fundos

IPTU:  parcelas mensais
Energia Elétrica, gás (botijão) e água: individuais;",Casa em Campinas,3quartos,1suíte,1banheiro ,4vagas,123m²
27,R$ 1.600,"R$ 1.748,81/mês",Jardim América,"Jd. América - Barão Geraldo

Casa térrea 2 dormitórios toda em piso frio internamente, e cimentado no quintal. 
Sala de estar;
Cozinha;
Banheiro Social
garagem para até 3 carros (1 coberta)

IPTU: 50% do total 
Energia elétrica, água e gás (sistema de botijão): individuais, por conta locatários.",Casa em Campinas,2quartos,1banheiro ,4vagas,60m²,not found
28,R$ 990,R$ 1.140/mês,Cidade Universitária,"Cidade Universitária 02 - Próximo Centro Médico / Centro Boldrini

Kitnet mobiliada com divisória da cozinha para dormitório;
- com ventilador de teto, geladeira, fogão, exaustor, guarda roupa
Com banheiro 
Vaga de garagem;
Lavanderia individual.
A poucos metros da Entrada da ""Casa do Lago"" 
Inclui: água, IPTU, energia de áreas comuns, manutenções externas, internet wifi, 
Individual: energia elétrica e gás;
Vaga de garagem: conforme disponibilidade;",Kitnet em Campinas,1quarto,1banheiro ,1vaga,22m²,not found
29,R$ 990,R$ 1.140/mês,Cidade Universitária,"Cidade Universitária 02 - Próximo Centro Médico / Centro Boldrini

Kitnet mobiliada com divisória da cozinha para dormitório;
- com ventilador de teto, geladeira, fogão, exaustor, guarda roupa
Com banheiro 
Vaga de garagem;
Lavanderia individual.
A poucos metros da Entrada da ""Casa do Lago"" 

Rateio fixo, por mês, inclui: Água, IPTU, energia de áreas comuns, manutenções externas, internet wi-fi; 
Individual: energia elétrica e gás;
Vaga de garagem: conforme disponibilidade;",Kitnet em Campinas,1quarto,1banheiro ,22m²,not found,not found
30,R$ 2.450,R$ 2.707/mês,Barão Geraldo,"Vila Santa Izabel - próximo Supermercado Dia / MOradia / Academia Smart Fit;
Sobrado semi-novo com 2 dormitórios amplos (1 com sacada), 
Sala de estar 2 ambientes conjugada com cozinha (com gabinete e balcão)  2 banheiros (1 em cima outro em baixo)
1 vaga coberta, sendo 3 no total para autos;
Muros alto, com cerca eletrica. E portão eletrônico

IPTU: valor por mês, correspondente 
água: 50% do total
Energia e gás: individuais;",Casa em Campinas,2quartos,2banheiros,2vagas,80m²,not found
31,R$ 2.500,"R$ 2.748,29/mês",Cidade Universitária,"Cidade Universitária 01 - 
Sobrado para locação com 2 suítes (com box de vidro em ambas), espaço para armários, grades nas janelas, ventiladores de teto.
Na parte térrea do imóvel fica a parte social, composta pela sala, lavabo e a cozinha, com prateleiras. Lavandeira externa, coberta. 
Vaga para 2 autos na garagem, com portão eletrônico ( em processo de instalação) 
INclui no valor do aluguel a água. 
Energia elétrica individual. 
IPTU: 20% do total. 
Gás: sistema de botijão",Casa em Campinas,2quartos,2suítes,2banheiros,2vagas,90m²
32,R$ 900,R$ 1.145/mês,Cidade Universitária,"Cid. Universitária 01 - Entre Unicamp e Comércios

Kitnet com divisória entre cozinha e dormitório;
Mobilia: geladeira, fogão 4 boca com forno, armários de cozinha; mesa com cadeiras tampo mármore, cama solteiro (sem colchão), guarda roupas embutido; banheiro com box de vidro;
Rateio por pessoa: R$200,00/mes - inclui agua, gás, IPTU, faxina de áreas comuns, internet;
Energia elétrica individual.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,23m²,not found
