,preco_1,preco_2,endereco_1,endereco_2,descricao,attr1,attr2,attr3,attr4,attr5
215,R$ 1.200,R$ 1.270/mês,Barão Geraldo,"Kitnet mobiliada no centro de Barão Geraldo.
Térrea, cozinha com semi-divisória para dormitório, geladeira 280 l Consul, fogão 4 bocas, mesa escamoteável cozinha, armários, guarda roupas, móvel para livros, cama solteiro sem colchão;
Todas as unidades com tanque e entrada de maquina de lavar roupas individual.


Incluso no valor água, IPTU, faxina semanal área comum, internet.
Vaga de garagem locado a parte, de acordo com disponibilidade, R$ 150,00 / mês;",Kitnet em Campinas,1quarto,1banheiro ,25m²,not found,not found
216,R$ 900,R$ 945/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo Mc Donald´s
Valor com vaga de garagem incluida
Kitnet mobiliada próximo ao Mc Donald´s / Subway;
Mobiliada com geladeira, fogão, mesa, armário, cama.

Inclui: internet, água, gás, IPTU;
Energia eletrica individual.",Kitnet em Campinas,1quarto,1banheiro ,1vaga,22m²,not found
217,R$ 900,R$ 1.145/mês,Cidade Universitária,"CIdade Universitaria 02

Kitnet mobiliada próximo ao Centro Médico / Centro Boldrini

Mobiliada com geladeira, micro-ondas, fogão, cama, mesa de estudos. Única unidade deste local que tem a cozinha individual. 

Rateio: valor por mes, por pessoa, e inclui: água, energia elétrica, IPTU, gás, manutenção de áreas externas.

Vagas de garagem locadas a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,15m²,not found,not found
218,R$ 850,"R$ 1.043,50/mês",Cidade Universitária,"Kitnet modelo estudio, bem localizada

Na Av. 03 - próximo a Unicamp

Possui guarda roupa, cama (sem colchão),
Cozinha americana com gabinete na pia, geladeira e fogão
Banheiro grande com box de vidro
Lavanderia coletiva
Bicicletário

Condomínio inclui: água, gás, IPTU, limpeza e manutenção das áreas externas.
Luz individual.

Internet cortesia!

Garagem: consultar disponibilidade e valores.

Agende uma visita!",Kitnet em Campinas,1quarto,1banheiro ,22m²,not found,not found
219,R$ 1.300,"R$ 1.567,67/mês",Cidade Universitária,"Excelente kitnet em localização privilegiada, em frente as quadras da Unicamp.
Apartamento todo em porcelanato; na cozinha possui pia com gabinete, micro-ondas, frigobar , fogão elétrico e máquina de lavar.
No dormitório possui; armário com 2 folhas, ar condicionado, mesa para estudos, e cômoda.
Banheiro com box blindex, chuveiro, armário com gabinete acabamento fino.
Garagem consultar a disponibilidade e valores.
Vale a pena conferir !",Kitnet em Campinas,1quarto,1banheiro ,1vaga,30m²,not found
220,R$ 1.300,"R$ 1.567,67/mês",Cidade Universitária,"Excelente kitnet em localização privilegiada, em frente as quadras da Unicamp.
Apartamento todo em porcelanato; na cozinha possui pia com gabinete, micro-ondas, frigobar , fogão elétrico e máquina de lavar.
No dormitório possui; armário com 2 folhas, ar condicionado, mesa para estudos, e cômoda.
Banheiro com box blindex, chuveiro, armário com gabinete acabamento fino.
Garagem consultar a disponibilidade e valores.
Vale a pena conferir !",Kitnet em Campinas,1quarto,1banheiro ,1vaga,30m²,not found
221,R$ 1.350,R$ 1.420/mês,Barão Geraldo,"Centro de Barão Geraldo - próximo Praça do Coco

Kitnet do estilo duplex, mobiliado,  sendo a banheiro, cozinha e  sala (com sacada) no térreo, e o dormitório no andar superior;
A mobiliada padrão é com geladeira, fogão 4 bocas com forno, mesa com cadeiras, gabinete cozinha;
Banheiro com box vidro e gabinete;

Inclui no aluguel: água, gás, IPTU, internet.
Vaga de garagem inclusa (confirmar disponibilidade).
Energia elétrica individual.

A lavanderia do predio é de uso coletivo com as demais unidades (são 9 unidades no total) 

Dormitório com guarda roupas e esrá com 2 camas solteiro (opcional) - sem colchão. 
Lavanderia coletiva.",Kitnet em Campinas,1quarto,1banheiro ,1vaga,27m²,not found
222,R$ 850,R$ 1.075/mês,Jardim Santa Genebra II (Barão Geraldo),"Suíte para Locação  - Próximo Padaria Alemã

Casa com 12 dormitórios (todos suítes) para locações individuais;
Imóvel completamente mobiliado com sala de jantar, sala de estudos, cozinha mobiliada, lavanderia com maquina de uso comunitário e vagas de garagem

Dormitório mobiliado com: Guarda Roupas, Cama sem colchão, Mesa de estudos e Frigobar e banheiro com Box de Vidro

Rateio fixo: valor por mes, por pessoa por mês (inclui: IPTU, água, vigilância patrimonial, vaga de garagem, internet, energia elétrica, lavandeira de uso comunitário com máquina);",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,21m²
223,R$ 1.250,R$ 1.600/mês,Cidade Universitária,"Cidade Universitária 01 - Rua Dr. Ruberlei Boareto da Silva, 499 -  frente Unicamp

Apartamento  de  01  dormitório, sala, cozinha com gabinete, área de serviço individual. Com vaga de garagem. Apartamento térreo, com área aberta. Sem mobília. 
Rateio/Condomínio é cobrado por mês, por apartamento (independente de quantidade de pessoas) e inclui: água, jardinagem, IPTU, faxina e conservação de áreas comuns, vigilância patrimonial. 
Energia elétrica e gás: individuais.",Apartamento em Campinas,1quarto,1banheiro ,1vaga,28m²,not found
224,R$ 1.150,R$ 1.500/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo Dalben/Padaria Alemã
Apartamento; piso cerâmico; 28 m² área construída;
1 dormitório
Sala;
Cozinha com área de serviço;
Banheiro social com blindex. 
Garagem para 01 carro com portão eletrônico e cerca elétrica. 
Rateio Variável, por mes, por apartamento, e inclui- água, IPTU, internet, manutenções de áreas comuns; por apartamento.
Energia elétrica: individual;

Energia elétrica e gás: individuais.",Apartamento em Campinas,1quarto,1banheiro ,1vaga,28m²,not found
225,R$ 800,R$ 1.025/mês,Cidade Universitária II,"Cidade Universitaria 01

kitnet do tipo estúdio com 22,30m² para locação na Cidade Universitária 01 - Av. Oscar Pedroso Horta, 82 - 
MObiliada com geladeira, armário de cozinha, prateleiras, mesa com 2 cadeiras, pequeno sofá. Opção de cama de casal. 
Fácil acesso para Unicamp, para laboratórios nacionais; 
Rateio valor por mes, por pessoa e inclui água, energia, IPTU, internet;",Kitnet em Campinas,1quarto,1banheiro ,"22,30m²",not found,not found
226,R$ 650,R$ 865/mês,Cidade Universitária,"Cidade Universitária 01
Kitnet mobiliada perto da Unicamp 

Mobiliada com geladeira, fogão elétrico, cama, mesa com 2 cadeiras.
Rateio valor por mês, inclui: IPTU, internet, agua, energia;",Kitnet em Campinas,1quarto,1banheiro ,18m²,not found,not found
227,R$ 1.800,"R$ 2.269,62/mês",Barão Geraldo,"Centro de Barão Geraldo - Barão Geraldo - Campinas - SP

Terreno localizado na região central de Barão Geraldo, em rua paralela a avenida Santa Isabel, próximo do Correios, banco Itaú, praça do coco, av Modesto Fernandes.

São 281 m², ideal para estacionamento, Food Truck!

Agende sua Visita!",Terreno em Campinas,"281,80m²",not found,not found,not found,not found
228,R$ 1.350,R$ 1.450/mês,Cidade Universitária,"Cidade Universitária 02

Kitnet mobiliada com divisória da cozinha para dormitório;
Cozinha equipada com geladeira, fogão, micro-ondas, bancada refeições, armário sob pia;
Dormitório com cama box, ar condicionado, televisão, guarda roupas;
Lavanderia individual com tanquinho 11 quilos.
Banheiro com box de vidro;
Rateio: fixo por mês, por apartamento - inclui: IPTU, internet, gás, faxina e manutenção de áreas comuns, água;
Energia elétrica: individual, por conta locatários;
Vaga de garagem: locado a parte, conforme disponibilidade, (portão eletrônico, cerca elétrica);",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
229,R$ 2.190,R$ 2.325/mês,Cidade Universitária,"Cidade Universitária 01 - Em frente a Reitoria, muito perto da parde de Medicina

Imóvel construído em 2021 com 35 m². Mobiliado com ar condicionado, armário embutido nos 2 dormitórios. 
Cozinha com gabiente, fogão de indução estilo cooktop, microondas, geladeira duplex. Banheiro com gabinete e box de vidro. Piso porcelanato, padrões de interruptores todos novos. 

Pode ser utilizado como sendo 2 dormitórios e uma cozinha centralizada ou como sendo 1 dormitório, sala, cozinha e banheiro. 
Lavanderia de uso coletivo com máquina. 
Está incluso no valor da locaçao: internet fibra optica, IPTU e manutenção de áreas externas. 
Energia Elétrica e água: consumos individuais.

Não tem opção de vaga de garagem.",Kitnet em Campinas,2quartos,1banheiro ,35m²,not found,not found
230,R$ 5.000,"R$ 5.565,31/mês",Cidade Universitária,"Cidade Univeritária 01 - Sobrado para Locação bem perto do Posto Ipiranga da Av. Dr. Romeu Tórtima. 

Sobrado de 06 dormitórios, sendo 06 suítes, todas com armários. 
Sala estilo americano com cozinha, cozinha com armários. Lavanderia Externa, coberta
Vaga de garagem para 06 carros, todas descobertas",Casa em Campinas,6quartos,6suítes,6banheiros,6vagas,200m²
231,R$ 1.950,"R$ 2.117,17/mês",Cidade Universitária,"Cidade Universitária 01 - Perto Posto Ipiranga Av. 01

Casa de fundos com 2 dormitórios com armários;
Sala de estar em estilo americano com cozinha (com armário);
Banheiro social.
1 vaga de garagem descoberta por casa. 
Terreno com outras 2 casas, todas locações para universitários.
Energia e Internet individuais.
Em frente a Unicamp (do lado do Posto Ipiranga)

Rateio: 1/3 de  IPTU e 1/3 de água (Imobiliária faz as divisões e cobra cada casa separadamente);
Energia, gás e internet: individuais.",Casa em Campinas,2quartos,1banheiro ,1vaga,57m²,not found
232,R$ 650,R$ 965/mês,Cidade Universitária,"Cidade Universitária 01 - KITNET SEM MOBILIA

Ampla kitnet térrea, com varanda individual, com  gabinete
na  pia  da  cozinha  e área de serviço individual e aberta.
Próximo a Unicamp, fácil acesso a vários comércios.
Rateio: valor por mes, por kitnet, e inclui: água, IPTU, internet, manutenção de áreas comuns. 
Gás: botijão individual por conta locatários. 
Energia eletrica: individual, por conta locatários. 
Vaga de garagem locada a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,25m²,not found,not found
233,R$ 1.200,"R$ 1.294,60/mês",Residencial Burato,"Sala Comercial - Próximo Moradia Estudantil - Res. Burato

Imóvel novo - 1° Locação
Próximo Cond. Bairro Alto
Sala comercial com 17m²
01 Lavabo individual 

Possui fiação pronta para instalação de Ar Condicionado. 

Valor Aluguel: R$1200,00 
Valor IPTU: R$24,60 (proporção)",Sala em Campinas,17m²,not found,not found,not found,not found
234,R$ 1.500,R$ 1.570/mês,Chácara Santa Margarida,"Sala Comercial para locação Chácara Santa Margarida, próximo ao Guará.

Centro Comercial com lavanderia, Pet Shop e Academia.

R$ 1500,00",Sala em Campinas,10vagas,40m²,not found,not found,not found
235,R$ 2.500,R$ 2.635/mês,Chácara Santa Margarida,"Sala Comercial para locação Chácara Santa Margarida - próximo Guará.

Ampla sala comercial com 2 banheiros em centro comercial com lavanderia, Pet Shop e academia.

R$ 2500,00",Sala em Campinas,2banheiros,10vagas,80m²,not found,not found
236,R$ 2.200,R$ 2.335/mês,Barão Geraldo,"Barão Geraldo

1º Andar - imóvel comercial contendo 2 salas (1 bem ampla);
Banheiros masculino e feminino;
Cozinha (copa);",Sala em Campinas,2banheiros,90m²,not found,not found,not found
237,R$ 2.500,R$ 3.085/mês,Cidade Universitária,"Sala Comercial Gallery Doth

Sala comercial na Av Romeu Tortima
Galeria Comercial com estacionamento privativo, em avenida com grande fluxo de pessoas.
Possui banheiros feminino e masculino.
Condomínio R$ 450,00, inclui Iptu e segurança.",Sala em Campinas,60m²,not found,not found,not found,not found
238,R$ 1.500,R$ 2.020/mês,Cidade Universitária,"ala comercial na Av Romeu Tortima
Galeria Comercial com estacionamento privativo, em avenida com grande fluxo de pessoas.
Possui banheiros feminino e masculino.
Condomínio R$ 450,00, inclui Iptu e segurança.",Sala em Campinas,25m²,not found,not found,not found,not found
239,R$ 1.500,R$ 2.020/mês,Cidade Universitária,"Sala Comercial Gallery Doth

Sala comercial na Av Romeu Tortima
Galeria Comercial com estacionamento privativo, em avenida com grande fluxo de pessoas.
Possui banheiros feminino e masculino.
Condomínio R$ 450,00, inclui Iptu e segurança.",Sala em Campinas,32m²,not found,not found,not found,not found
240,R$ 1.500,"R$ 2.223,51/mês",Barão Geraldo,"Terreno residencial para locação na Vila Santa Izabel. São 2 terrenos, totalizando 880 metros quadrados, sendo esquina, uma frente de 44,1 metros e outra de 30,7 metros. Localizado próximo ao supermercado Dia %.",Terreno em Campinas,880m²,not found,not found,not found,not found
241,R$ 1.700,R$ 1.790/mês,Cidade Universitária,"Sala comercial para locação, Cidade Universitária, Campinas.

Conjunto comercial. Composto por recepção, 1 sala, banheiro, copa, deposito, área externa compartilhados.

Localização privilegiada, próximo a Unicamp e ao centro de Barão Geraldo.",Sala em Campinas,1banheiro ,"19,95m²",not found,not found,not found
242,R$ 3.900.000,"R$ 15.987,87/mês",Cidade Universitária,"Cidade Universitária - Barão Geraldo

Barracão de 450m², 300m² térreo e 150m² de Mezanino.
Na parte térrea possui 2 banheiros e cozinha.
Mezanino com escritório, banheiro e elevador.

Agende sua Visita",Barracão em Campinas,3banheiros,450m²,not found,not found,not found
243,R$ 8.500,R$ 9.728/mês,Barão Geraldo,"Casa comercial para locação no Centro de Barão Geraldo.

São 211m²de salão comercial  + dependências 80m² para dependências de cozinha e estoque. 
2 caixas d´água de 5000 litros. 
IPTU: 2019 - parcelas de R$ 828,00/mês.",Casa em Campinas,2banheiros,300m²,not found,not found,not found
244,R$ 630,R$ 665/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo ao Colégio Rio BRanco

Suítes mobiliadas com frigobar, armário, cama soleiro sem colchão destinada apenas para locaçao para UNIVERSITÁRIOS. 

Cozinha de uso coletivo para as 9 unidades do local. 
Inclui no valor da locação IPTU, energia elétrica, internet, água; 

Lavanderia de uso coletivo com máquina.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,13m²,not found
245,R$ 1.900,R$ 2.240/mês,Cidade Universitária,"Cidade Universitária 01 - em frente Unicamp (FEF)

Apartamento térrea com 2 dormitórios;
Cozinha e sala conjugados;
Lavanderia individual;
Banheiro social;
2 vagas de garagem;
rateio variável inclui: IPTU, água, vigilante patrimonial, jardinagem áreas comuns;
Energia elétrica, gás (botijão) e internet: individuais;",Apartamento em Campinas,2quartos,1banheiro ,1vaga,36m²,not found
246,R$ 1.250,R$ 1.570/mês,Barão Geraldo,"Kitnet no Centro de Barão Geraldo

Kitnet no 1º andar. Semi-divisória da cozinha para o dormitório, com geladeira, fogão, exaustor, armário, bancada de estudos, bancada de refeições. 
Banheiro com box de vidro e gabinete. 

Rateio variável: inclui água, IPTU, vigilância patrimonial, faxina e manutenção de áreas comuns, gás, lavanderia de uso coletivo com máquina. 
Vaga de garagem locado a parte, por R$ 140,00 por mês, de acordo com disponibilidade;",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
247,R$ 1.150,R$ 1.220/mês,Barão Geraldo,"Kitnet próximo a Moradia do Estudante e Supermercado Dia%

Kitnet com semidivisória e ar condicionado!
Cozinha com fogão, geladeira, mesinha e gabinete embaixo da pia.
Dormitório com escrivaninha, armário embutido, cama de casal.
Banheiro com gabinete embaixo da pia e box de vidro.
Uma vaga de garagem descoberta. Portão eletrônico.
Contas inclusas: água, luz, IPTU, gás e manutenção externa.
Internet cortesia de 200MB.

Para a segunda pessoa, cobra-se R$ 300,00 a mais!

Agende sua visita!",Kitnet em Campinas,1quarto,1banheiro ,1vaga,20m²,not found
248,R$ 1.150,R$ 1.220/mês,Barão Geraldo,"Kitnet próximo a Moradia do Estudante e Supermercado Dia%

Kitnet com semidivisória e ar condicionado!
Cozinha com fogão, geladeira, mesinha e gabinete embaixo da pia.
Dormitório com escrivaninha, armário embutido, cama de casal.
Banheiro com gabinete embaixo da pia e box de vidro.
Uma vaga de garagem descoberta. Portão eletrônico.
Contas inclusas: água, luz, IPTU, gás e manutenção externa.
Internet cortesia de 200MB.

Para a segunda pessoa, cobra-se R$ 300,00 a mais!

Agende sua visita!",Kitnet em Campinas,1quarto,1banheiro ,1vaga,20m²,not found
249,R$ 2.950.000,not found,Cidade Universitária,"Salão Comercial - Zoneamento Z11 BG 

Antiga Cachaçaria Água Doce.
Área do Terreno: 525 m².
Área Construída: 419,10 m² - sendo composta por amplo salão de 110 m² + mezanino com 60 m² + estacionamento com 60 m².
Ampla cozinha com instalações prontas para equipamentos e despensa.
04 banheiros, sendo 02 destinados a clientes e 02 vestiários para funcionários. 
Sala de Gerência com banheiro

Imóvel possui 67 placas fotovoltaicas para geração de energia, podendo produzir 2000 kV  nos meses de Verão. 

Os itens da cozinha, bar e salão deverão ser negociados a parte, não estão inclusos no valor anunciado da locação. O valor da locação contempla o imóvel sem melhorias.

VISITAS A PARTIR DE 10/04/2020",Salão em Campinas,4banheiros,4vagas,"419,10m²",not found,not found
250,R$ 1.590.000,"R$ 6.464,73/mês",Barão Geraldo,"Centro de Barão Geraldo 

Área Comercial

Casa de 3 dormitórios com edícula, 552 m² de terreno
Sala, Cozinha, Armários nos quartos.
Quintal grande, com acesso lateral, até 6 vagas.",Casa em Campinas,3quartos,2banheiros,6vagas,"244,82m²",not found
251,R$ 1.150,R$ 1.220/mês,Barão Geraldo,"Kitnet próximo a Moradia do Estudante e Supermercado Dia%

Kitnet com semidivisória e ar condicionado!
Cozinha com fogão, geladeira, mesinha e gabinete embaixo da pia.
Dormitório com escrivaninha, armário embutido, cama de casal.
Banheiro com gabinete embaixo da pia e box de vidro.
Uma vaga de garagem descoberta. Portão eletrônico.
Contas inclusas: água, luz, IPTU, gás e manutenção externa.
Internet cortesia de 200MB.

Para a segunda pessoa, cobra-se R$ 300,00 a mais!

Agende sua visita!",Kitnet em Campinas,1quarto,1banheiro ,1vaga,20m²,not found
252,R$ 1.150,R$ 1.220/mês,Barão Geraldo,"Kitnet próximo a Moradia do Estudante e Supermercado Dia%

Kitnet com semidivisória e ar condicionado!
Cozinha com fogão, geladeira, mesinha e gabinete embaixo da pia.
Dormitório com escrivaninha, armário embutido, cama de casal.
Banheiro com gabinete embaixo da pia e box de vidro.
Uma vaga de garagem descoberta. Portão eletrônico.
Contas inclusas: água, luz, IPTU, gás e manutenção externa.
Internet cortesia de 200MB.

Para a segunda pessoa, cobra-se R$ 300,00 a mais!

Agende sua visita!",Kitnet em Campinas,1quarto,1banheiro ,1vaga,20m²,not found
253,R$ 1.150,R$ 1.220/mês,Barão Geraldo,"Kitnet próximo a Moradia do Estudante e Supermercado Dia%

Kitnet com semidivisória e ar condicionado!
Cozinha com fogão, geladeira, mesinha e gabinete embaixo da pia.
Dormitório com escrivaninha, armário embutido, cama de casal.
Banheiro com gabinete embaixo da pia e box de vidro.
Uma vaga de garagem descoberta. Portão eletrônico.
Contas inclusas: água, luz, IPTU, gás e manutenção externa.
Internet cortesia de 200MB.

Para a segunda pessoa, cobra-se R$ 300,00 a mais!

Agende sua visita!",Kitnet em Campinas,1quarto,1banheiro ,1vaga,20m²,not found
254,R$ 1.100,R$ 1.170/mês,Cidade Universitária,"Kitnet Locação - Próximo Mc Donalds - Cid. Universitária I

Kitnet com mobília sem divisória
Quarto com cama sem colchão, guarda roupa e mesa de estudos
Cozinha com armário aéreo, geladeira 240L e fogão 4 bocas
Banheiro com box

Aluguel inclui: Água, IPTU, Internet, Gás e Manutenções Áreas Comuns
Energia: Individual; 
Vaga Garagem: incluso.",Kitnet em Campinas,1quarto,1banheiro ,1vaga,21m²,not found
255,R$ 650,R$ 865/mês,Cidade Universitária,"Cidade Universitária 01 -Perto da FEF 

Kitnet mobiliada próximo da Unicamp;
Geladeira, forno elétrico.

Rateio: R$ 180,00 mês, por morador - inclui: água, energia, IPTU, limpeza e manutenção das áreas comuns;",Kitnet em Campinas,1quarto,1banheiro ,"16,50m²",not found,not found
256,R$ 6.000,"R$ 7.135,14/mês",Cidade Universitária,"Amplo Salão Comercial em avenida, ótima localização, zoneamento 11.
Varanda;
Balcão caixa;
Balcão bebidas;
Banheiros masculino, feminino, funcionários e para cadeirantes;
Escritório;
Cozinha com coifa;
Despensa;
Área de serviço.",Casa em Campinas,420m²,not found,not found,not found,not found
257,R$ 750,R$ 985/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo Mc Donald´s
Kit amplo, pia com gabinete; geladeira, fogão 2 bocas sem forno, armário embutido, 1 cama (sem colchão)
Excelente  localização,  próximo ao Centro de Barão Geraldo, em avenida de fácil acesso a Unicamp. 
Condomínio por mês, por morador, inclui: IPTU, gás, energia elétrica, água e gás.
Vaga de garagem, quando solicitado e disponível, R$150,00/mês.",Kitnet em Campinas,1quarto,1banheiro ,21m²,not found,not found
258,R$ 1.500,R$ 1.570/mês,Cidade Universitária,"Cidade Universitária I -´Próximo as quadras da Unicamp
 
Kitnet duplex com ar condicionado.
Na parte térrea, cozinha com geladeira, fogão, gabinete na pia da cozinha, mesa para refeição, banheiro com gabinete e box de vidro;
1º Andar: Dormitório com cama e guarda roupas;
01 Vaga de Garagem descoberta;
Lavandeira de uso coletivo com máquina.
Inclui: água, gás, Iptu e Internet(cortesia)

Energia 1/3 do total",Kitnet em Campinas,1quarto,1banheiro ,1vaga,35m²,not found
259,R$ 1.500,R$ 1.570/mês,Cidade Universitária,"Cidade Universitária I -´Próximo as quadras da Unicamp
 
Kitnet duplex com ar condicionado.
Na parte térrea, cozinha com geladeira, fogão, gabinete na pia da cozinha, mesa para refeição, banheiro com gabinete e box de vidro;
1º Andar: Dormitório com cama e guarda roupas;
01 Vaga de Garagem descoberta;
Lavandeira de uso coletivo com máquina.
Inclui: água, gás, Iptu e Internet(cortesia)

Energia 1/3 do total",Kitnet em Campinas,1quarto,1banheiro ,1vaga,35m²,not found
260,R$ 1.350,R$ 1.420/mês,Barão Geraldo,"Kitnet mobiliada - Próximo praça do coco 

Imóvel mobiliado com geladeira, fogão, mesa de jantar, armário e lavanderia com máquina de uso comunitário.

Inclui no valor : por pessoa por mês - água, IPTU, gás, vaga de garagem, internet, energia elétrica.",Kitnet em Campinas,1quarto,1banheiro ,1vaga,20m²,not found
261,R$ 850,R$ 1.095/mês,Cidade Universitária,"Cidade Universitária 01 - Perto da Praça da Paz, Reitoria, Medicina; 

Opção de kitnet térrea com 14,30 m², do tipo estúdio, mobiliada com geladeira, fogão cooktop por indução (elétrico), microondas, armários de cozinha, guarda roupas, cama de solteiro sem colchão. Banheiro com box de vidro, espelho. 
No prédio há máquina de lavar roupas de uso comunitário. 
Rateio por mês inclui: água, energia elétrica, IPTU, internet, manutenção de áreas comuns. 
Vagas de garagem locadas a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,"14,30m²",not found
262,R$ 1.250,R$ 1.580/mês,Barão Geraldo,"Kitnet no Centro de Barão Geraldo

Kitnet mobiliada com divisória da cozinha para dormitório;
Dormitório com armário, cama solteiro, 
Cozinha com fogão, geladeira, bancada de refeições.

Condomínio variável inclui: água, IPTU, vigilante patrimonial, faxina de áreas comuns, gás;
Vaga de garagem: locado a parte, conforme disponibilidade;",Kitnet em Campinas,1quarto,1banheiro ,20m²,not found,not found
263,R$ 1.350,R$ 1.690/mês,Jardim Santa Genebra II (Barão Geraldo),"Santa Genebra 02 - Próximo Terminal de ônibus de Barão Geraldo

Apartamento com 1 dormitório;
Sala e Cozinha em estilo americano, separados por balcão;
Banheiro com box de vidro;
Com vaga de garagem (portao eletrônico)
Rateio: por apartamento, inclui: IPTU, internet, água, vigilante patrimonial em torno de R$ 270,00/mês;
Gás e energia elétrica: individuais;",Apartamento em Campinas,1quarto,1banheiro ,1vaga,35m²,not found
264,R$ 850,R$ 1.095/mês,Cidade Universitária,"Kitnet mobiliada no centro de Barão Geraldo - perto do Mc Donald´s e Pão de Açúcar - 
Cama de solteiro, mesa, cadeiras, fogão 2 bocas, geladeira, armário embutido.
Semi-divisória da cozinha para o banheiro.
Rateio por pessoa, inclui: água, IPTU, internet (cortesia), energia elétrica, gás;
Vaga de garagem: quando disponível",Kitnet em Campinas,1quarto,1banheiro ,28m²,not found,not found
265,R$ 1.400,R$ 1.470/mês,Jardim Santa Genebra II (Barão Geraldo),"Casa de fundos no Santa Genebra II

Muito bem localizada. Próxima a supermercados, farmácias, restaurantes, terminal e pontos de ônibus no centro de Barão Geraldo. Fácil acesso a Unicamp.
Cozinha e sala estilo americano.
Quarto com banheiro. Ventilador de teto.
Entrada dependente. 
Não possui vaga de garagem.
Não aceita pet. 
Ideal para uma pessoa ou casal.

Incluso no aluguel: água, luz e IPTU. Internet é cortesia!

Agende uma visita!",Casa em Campinas,1quarto,1banheiro ,40m²,not found,not found
266,R$ 850,R$ 1.095/mês,Cidade Universitária,"Kitnet mobiliada no centro de Barão Geraldo, muito próximo ao Supermercado Pão de Açúcar.
Mobiliada com geladeira, fogão 2 bocas, armários na cozinha, mesa, cadeira, cama (sem colchão), armário embutido.
Banheiro individual.
Vagas de garagem locadas a parte - conforme disponibilidade;
Condomínio por mês, por pessoa - inclui: internet (cortesia), gás, energia elétrica, água e IPTU",Kitnet em Campinas,1quarto,1banheiro ,26m²,not found,not found
267,R$ 1.400,R$ 1.720/mês,Cidade Universitária,"Localizada a 200 metros da entrada do Ciclo Básico 02 (entrada do Restaurante Universitário) da Unicamp, este prédio tem 10 unidades no total. Conta com sala e cozinha em estilo americano (separadas por um balcão, cozinha com geladeira, fogão 4 bocas com forno, bancada sob a pia,  armário aéreo), banheiro com box de vidro, gabinete pia; dormitório com armário embutido. Todas as unidades com vaga de garagem descoberta (portão eletrônico, cerca elétrica).
O prédio conta com lavanderia comunitária com máquina.
Cobra-se rateio por mês para 1 morador, que incluí: energia elétrica, água, IPTU, internet cabeada. 
Pode-se morar no máximo em 2 pessoas, o que acrescenta o valor de rateio.
O gás não está incluído no valor da locação e/ou rateio. É individual, por conta do locatário.
Agende sua visita para conhecer esta opção!",Kitnet em Campinas,1quarto,1banheiro ,1vaga,30m²,not found
268,R$ 1.300,R$ 1.550/mês,Cidade Universitária,"Cidade Universitária 01 - poucos metros da Medicina / Reitoria
Kitnet térrea com 20,21 m² de área útil com piso porcelanato.
Cozinha com gabinete sob pia, bem iluminada e ventilada.  
Dormitório e cozinha juntos (kitnet estúdio), com ar-condicionado, armário guarda roupas; 
Banheiro com gabinete, box de vidro. 

Rateio valor por mês inclui: água, energia elétrica, internet, manutenção de áreas comuns, lavanderia de uso comunitário com máquina e gás; 

Vaga de garagem locada a parte, conforme disponibilidade (consultar valores e tamanho das vagas).",Kitnet em Campinas,1quarto,1banheiro ,"20,21m²",not found,not found
269,R$ 1.250,R$ 1.570/mês,Cidade Universitária,"Cidade Universitária 01 - 50 metros da Unicamp - Muito bem localizado! 
Apartamento de 01 dormitório, sala, cozinha e banheiro. 1 vaga de garagem. Sem mobília. 
Rateio inclui: água, IPTU, jardinagem e conservação de área comum, vigilância patrimonial por volta de R$ 250,00 por mês.",Apartamento em Campinas,1quarto,1banheiro ,1vaga,28m²,not found
270,R$ 1.250,R$ 1.570/mês,Cidade Universitária,"Cidade Universitária 01 - 50 metros Unicamp
Apartamento de 1 dormitório, 
sala com sacada;
Cozinha com gabinete de pia e lavanderia;
Banheiro;
1 vaga de garagem descoberta;
Condomínio/rateio: o valor é variável, cobrado por apartamento, ao mês, inclui água, IPTU, faxina e jardinagem de área comum, seguro predial, vigilância patrimonial.
Energia, Internet e gás: despesas individuais.",Apartamento em Campinas,1quarto,1banheiro ,1vaga,28m²,not found
271,R$ 1.500,R$ 1.570/mês,Vila Santa Isabel,"Vila Santa Izabel - Barão Geraldo - Campinas - SP

Casa de fundos com 1 dormitório amplo;
Sala de estar
Banheiro;
Cozinha com gabinete sob pia;
Cômodo adicional (despejo/depósito)
Lavanderia externa e coberta, individual;

Sem vaga de garagem;

IPTU incluso;
Energia elétrica: individual;",Casa em Campinas,1quarto,1banheiro ,45m²,not found,not found
